"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Тесты","0","Сервис сотрудников","1","0","Список сотрудников","0"
"0","API Тесты","0","Сервис сотрудников","2","0","Получение сотрудника","0"
"0","API Тесты","0","Сервис сотрудников","1","0","Обновление сотрудника","0"
"0","API Тесты","0","Сервис сотрудников","1","0","Частичное обновление сотрудника","0"
"0","API Тесты","0","Сервис сотрудников","2","0","Удаление сотрудника","0"
"0","API Тесты","0","Сервис сотрудников","3","0","Создание сотрудника","0"
