"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 09 14:46:33 MSK 2026","Thu Jul 09 14:46:38 MSK 2026","4410","Surefire suite","Surefire test","ui.GamePortalTests","ui.GamePortalTests","testCheckDownloadLinks","testCheckDownloadLinks","Кейс 3: Проверка ссылок на скачивание CarX Drift Racing 2 (раздел Подписки)"
"passed","Thu Jul 09 14:46:56 MSK 2026","Thu Jul 09 14:47:04 MSK 2026","7939","Surefire suite","Surefire test","ui.GamePortalTests","ui.GamePortalTests","testSearchGameAndCheckPrice","testSearchGameAndCheckPrice","Кейс 1: Поиск игры Pioner и проверка цены 699р"
"passed","Thu Jul 09 14:46:40 MSK 2026","Thu Jul 09 14:46:53 MSK 2026","13674","Surefire suite","Surefire test","ui.GamePortalTests","ui.GamePortalTests","testCheckMinRequirements","testCheckMinRequirements","Кейс 2: Проверка минимальных требований LEGO Batman"
